iter	RMSE
0	11.91230445
1	11.79331605
2	11.67551225
3	11.55884172
4	11.44338644
5	11.32906678
6	11.21584671
7	11.10382402
8	10.99292334
9	10.88313676
10	10.77440354
11	10.66675148
12	10.56021778
13	10.45472747
14	10.35024876
15	10.24689208
16	10.14455206
17	10.04324376
18	9.942962221
19	9.843667245
20	9.74534259
21	9.648005626
22	9.551639092
23	9.45627859
24	9.361855775
25	9.268396246
26	9.175811074
27	9.084175733
28	8.993477489
29	8.903697644
30	8.814780801
31	8.726782578
32	8.639650315
33	8.553390392
34	8.467947801
35	8.383372807
36	8.299706377
37	8.216880042
38	8.13482488
39	8.053606102
40	7.973203908
41	7.893581932
42	7.814798062
43	7.736822066
44	7.659574622
45	7.583145977
46	7.507426831
47	7.432508393
48	7.358352324
49	7.284911237
50	7.212222394
51	7.140196764
52	7.068920664
53	6.998383236
54	6.928515891
55	6.859374223
56	6.790940464
57	6.723154576
58	6.656108395
59	6.589734782
60	6.52402541
61	6.458945517
62	6.394479064
63	6.330720576
64	6.267582163
65	6.205051222
66	6.143183135
67	6.08190148
68	6.021287804
69	5.961266762
70	5.901862759
71	5.842984744
72	5.784742339
73	5.72710405
74	5.669972713
75	5.61348587
76	5.557523499
77	5.502146851
78	5.44729914
79	5.393027759
80	5.339283734
81	5.286098192
82	5.233389377
83	5.181274558
84	5.129687583
85	5.078585723
86	5.027977004
87	4.977911742
88	4.928361039
89	4.879306699
90	4.830689121
91	4.782592819
92	4.734986365
93	4.687880862
94	4.641232063
95	4.595024777
96	4.549320763
97	4.504071631
98	4.459284041
99	4.414868969
