iter	Passed	Remaining
0	68	6801
1	87	4289
2	106	3446
3	125	3018
4	144	2738
5	161	2535
6	180	2395
7	197	2271
8	217	2200
9	234	2114
10	256	2073
11	279	2049
12	310	2076
13	330	2029
14	351	1991
15	373	1963
16	400	1953
17	424	1934
18	447	1908
19	469	1877
20	487	1835
21	508	1801
22	527	1766
23	546	1729
24	565	1695
25	583	1660
26	604	1633
27	623	1603
28	643	1576
29	664	1551
30	685	1526
31	704	1498
32	725	1473
33	745	1446
34	768	1427
35	790	1405
36	812	1382
37	835	1363
38	855	1337
39	874	1312
40	894	1287
41	914	1262
42	932	1235
43	950	1210
44	969	1185
45	988	1160
46	1009	1138
47	1028	1114
48	1047	1089
49	1067	1067
50	1086	1043
51	1105	1020
52	1127	999
53	1146	976
54	1165	953
55	1184	931
56	1204	908
57	1221	884
58	1239	861
59	1266	844
60	1293	827
61	1318	808
62	1343	789
63	1366	768
64	1387	747
65	1407	725
66	1430	704
67	1456	685
68	1479	664
69	1506	645
70	1531	625
71	1552	603
72	1573	581
73	1592	559
74	1613	537
75	1634	516
76	1662	496
77	1693	477
78	1717	456
79	1740	435
80	1765	414
81	1784	391
82	1806	370
83	1828	348
84	1852	326
85	1873	305
86	1898	283
87	1921	261
88	1943	240
89	1964	218
90	1983	196
91	2002	174
92	2023	152
93	2045	130
94	2067	108
95	2085	86
96	2102	65
97	2120	43
98	2137	21
99	2154	0
